,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◆ スプリントプランニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリント期間 (yyyy/mm/dd),,,,"5, 5",,,～,2026/05/10(日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール,,,,このスプリントで,,,"データベースの設計と開発環境の構築を完了し、ユーザーが登録・ログインおよびアカウント認証ができるようにする。さらに、ゲストおよび一般ユーザーが、店舗の詳細情報や予算に基づいて飲食店を検索できるようにする。
Thiết kế cơ sở dữ liệu và môi trường phát triển được hoàn thiện, và khách có thể đăng nhập, đăng ký và xác thực tài khoản. Khách và người dùng thông thường có thể tìm kiếm quán ăn theo chi tiết quán và ngân sách.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントバックログ,,,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,対応P_ID,,ID,,タスク,,,,,,PIC,,見積もり(h),,"スプリント
ゴールとの関係",,進捗,,実績(h),,問題点,,,,原因,,,,対策,,,,問題点への対応状況,,,,,,
,1.0,,1,,"[DB] ER図作成とスキーマ定義
[DB] Tạo sơ đồ ER và định nghĩa Schema",,,,,,Tiến Đạt,,5.0,,あり,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,
,1.0,,2,,"[DB] マイグレーション実行・初期化
[DB] Thực thi migration và khởi tạo dữ liệu",,,,,,Tiến Đạt,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,,3,,"[Dev] 共通開発環境の構築
[Dev] Thiết lập môi trường phát triển chung",,,,,,Huy,,3.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,,4,,"[Doc] 開発環境設定のマニュアル作成
[Doc] Soạn tài liệu hướng dẫn thiết lập môi trường phát triển",,,,,,Tuấn,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,5,,"[BE] Entity/Model実装
[BE] Triển khai Entity/Model",,,,,,Huy,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,6,,"[BE] CRUD開発
[BE] Code các chức năng CRUD",,,,,,Tuấn,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,,7,,"[QA] DB・CRUD操作の検証
[QA] Test thao tác DB và CRUD",,,,,,Tuấn,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,,8,,"[QA] 開発環境の導入検証
[QA] Test việc thiết lập môi trường phát triển",,,,,,Quý,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,,9.0,,"[FE] ログイン画面のレイアウト実装
[FE] Code layout cho màn hình đăng nhập ",,,,,,Hải,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,,10.0,,"[FE] サインアップ画面のレイアウト実装
[FE] Code layout cho màn hình đăng kí",,,,,,Hải,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,,11.0,,"[BE]ログイン・サインアップAPIの実装
[BE]API đăng nhập & đăng kí ",,,,,,Thế Đạt,,3.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,,12.0,,"[FE/BE] ログイン・サインアップUIとAPIの連携
[FE/BE] Kết nối UI đăng nhập & đăng kí với API ",,,,,,Thế Đạt,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,,13.0,,"[QA] ログイン・サインアップ機能の受け入れテスト
[QA] Kiểm thử chấp nhận cho chức năng đăng nhập , đăng ký",,,,,,Quý,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,14.0,,"[FE] ゲスト用ホーム画面のレイアウト実装
[FE] Code layout cho màn hình trang chủ dành cho khách",,,,,,Hải,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,15.0,,"[FE] 一般ユーザー用ホーム画面のレイアウト実装
[FE] Code layout cho màn hình trang chủ dành cho người dùng thông thường",,,,,,Đức,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,16.0,,"[BE] ホーム画面のレストラン検索APIの実装
[BE] API tìm kiếm nhà hàng ở trang chủ ",,,,,,Đức,,3.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,17.0,,"[FE/BE] ホーム画面の検索UIとレストラン検索APIの連携
[FE/BE] Kết nối UI tìm kiếm với API tìm kiếm nhà hàng ở trang chủ ",,,,,,Đức,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,,18.0,,"[QA] 詳細検索・予算検索機能の受け入れテスト
[QA] Kiểm thử chấp nhận cho chức năng tìm kiếm chi tiết & ngân sách",,,,,,Quý,,2.0,,あり,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POTは上記のスプリントゴールとスプリントバックログを承認します。,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◆ スプリントレビュー　※スプリントプランニングでは記入しないこと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントレビュー準備,,,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,説明担当,,,,,,デモ担当,,,,,,書記,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度の理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントレビュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,FB箇所,,CheckList No,,FB内容,,,,,,,,FBへの対応方針,,,対応する内容／対応しない理由,,,,,,,,対応方針承認,,,,,,,,,,,,,
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,4.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,5.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール達成度の理由,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
