,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,1.0,,画面タイトル,,"ホーム・検索画面
(Màn hình Trang chủ & Tìm kiếm)",,,,,,ロールID,,"1, 3",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログインリンク
Link Đăng nhập","ヘッダー右側の「ログイン」リンク
Dòng chữ ""ログイン"" ở bên phải header",リンク,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".","ログインしていない場合、「ログイン」ボタンを表示する。ログイン後は「プロフィール」に変更され、ユーザーの個人情報画面へ遷移する。
Hiển thị nút ""Đăng nhập"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Hồ sơ cá nhân"" và dẫn đến màn hình thông tin cá nhân.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録」ボタン
Nút màu đỏ ""登録"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".","ログインしていない場合、「登録」ボタンを表示する。ログイン後は「ログアウト」に変更される。
Hiển thị nút ""Đăng ký"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Đăng xuất"".",,,,,,
,,,,,,,,,,,,,,,,,4.0,"メインタイトル
Tiêu đề chính","赤いバナー上の大きなテキスト
Dòng chữ lớn trên banner đỏ",ラベル,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"検索バー（キーワード）
Thanh tìm kiếm (Từ khóa)","レストランや料理名を検索する入力エリア
Ô nhập liệu để tìm kiếm nhà hàng, món ăn",テキストボックス,"入力値：レストラン名、料理名
Giá trị nhập: Tên nhà hàng, tên món ăn","入力内容に基づき、候補をオートコンプリート（サジェスト）表示する。
Tự động hiển thị các gợi ý (suggest) dựa trên nội dung nhập.","プレースホルダ：「レストラン、料理を検索 / Tìm nhà hàng, món ăn...」
Placeholder: ""レストラン, món ăn...""",,,,,,
,,,,,,,,,,,,,,,,,6.0,"地図で検索ボタン
Nút Tìm trên bản đồ","検索バーの右にある赤いボタン
Nút màu đỏ cạnh thanh tìm kiếm",ボタン,-,"クリック時、「地図検索画面」へ遷移する（または地図UIをポップアップ表示する）。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình tìm kiếm bản đồ"" (hoặc hiển thị popup bản đồ).",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"検索条件：エリア
Điều kiện: Khu vực","検索するエリアを指定する入力・選択欄
Ô nhập/chọn khu vực tìm kiếm",ドロップダウン,"選択肢：ハノイの各区・地域
Lựa chọn: Các quận/khu vực (VD: Hoàn Kiếm, Ba Đình...)","クリック時、エリアのドロップダウンリストを表示する。
Khi nhấp vào, hiển thị danh sách thả xuống các khu vực.","ラベル：「エリア / Khu vực」
Nhãn: ""エリア / Khu vực""
入力例：「Hoàn Kiếm / ホアンキエム」",,,,,,
,,,,,,,,,,,,,,,,,8.0,"下限価格
Giá dưới","希望する最低予算を入力するためのテキストボックス。
Ô nhập dùng để nhập mức ngân sách tối thiểu mong muốn.",テキストボックス,"数値のみ入力可能
Chỉ cho phép nhập số

例：200000","ユーザーがクリックすると入力可能になる。
Khi người dùng nhấp vào, cho phép nhập dữ liệu.

入力された値は検索条件の下限として使用される。
Giá trị nhập vào sẽ được dùng làm mức giá thấp nhất khi tìm kiếm.

数値以外はエラー表示。
Nếu nhập ký tự không phải số → báo lỗi.","ラベル：「下限価格」
Nhãn: “Giá dưới”

プレースホルダー：「例：200000」
Có thể hiển thị đơn vị “VND”",,,,,,
