,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,No.,"確認項目
Mục check","確認すること
Nội dung check","POT
セルフレビュー
POT – Tự đánh giá","開発Tレビュー
Nhóm phát triển đánh giá","教師FB
Phản hồi của giáo viên",,,,,,,,,,,,,,,,,
,1.0,"機能
Chức năng","システム概要の機能一覧の内容と完全に一致しているか
Có khớp hoàn toàn với danh sách chức năng ở sheet tổng quan hệ thống không?",True,True,True,,,,,,,,,,,,,,,,,
,2.0,"ユーザーストーリー
User story","「誰が」「何をしたいか」「なぜなら」の要素が含まれているか
Có đầy đủ các yếu tố: “Ai”, “Muốn làm gì”, “Tại sao” không?",True,True,True,,,,,,,,,,,,,,,,,
,3.0,"優先度
Mức độ ưu tiên","同じ優先度のアイテムが2つ以上ないか
Có đảm bảo không có từ 2 mục trở lên được đặt cùng mức độ ưu tiên không?",True,True,True,,,,,,,,,,,,,,,,,
,4.0,"受入条件
Điều kiện tiếp nhận","誰が見ても客観的に条件を達成できたかどうかを判断できるものになっているか
Có viết điều kiện đảm bảo bất cứ ai nhìn vào cũng có thể đánh giá khách quan được rằng ''đã/chưa thỏa mãn'' không?",True,True,False,,,,,,,,,,,,,,,,,
,5.0,"表記ゆれ
Sự thống nhất về cách ghi","システム概要・画面遷移図・画面設計書と同じ意味の言葉を違う表記で記載していないか
Có đảm bảo các từ cùng nghĩa với các từ trong các sheet tổng quan hệ thống, sơ đồ chuyển màn hình và thiết kế màn hình không bị ghi bằng từ khác không?",True,True,False,,,,,,,,,,,,,,,,,
,6.0,"言語
Ngôn ngữ","日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt không?",True,True,True,,,,,,,,,,,,,,,,,
,7.0,"体裁
Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",True,True,True,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
