,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1.問題,,,,,,,,,,,,,,,,,,,,,,,,
,,"ハノイで働いている日本人：
・ハノイに日本から出張で来た日本人に、日本人の口に合うおいしいベトナム料理の店を紹介することができない
ハノイで日本語が話せるレストラン経営者：
・日本人のお客さんになかなか来てもらえない
Người Nhật làm việc tại Hà Nội: Không thể giới thiệu quán ăn Việt Nam ngon, hợp khẩu vị cho những người Nhật sang công tác.
Chủ nhà hàng nói tiếng Nhật tại Hà Nội: Khó thu hút khách hàng người Nhật đến quán.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.想定ユーザー,,,,,,,,,,,,,,,,,,,,,,,,
,,"ハノイ在住の日本人ビジネスマン
ハノイのレストラン経営者（日本語対応可）
1. Người Nhật đang làm việc/sinh sống tại Hà Nội.
2. Chủ nhà hàng tại Hà Nội (có khả năng hỗ trợ tiếng Nhật).",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,3.課題・解決策,,,,,,,,,,,,,,,,,,,,,,,,
,,ID,想定ユーザー,,,,課題：解決に向けて取り組むべきこと・理想の状態,,,,,,,,解決策：課題を実行・実現するための具体的手段,,,,,,,,,,
,,1.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"日本語対応、清潔さ、エアコンの有無などの詳細な条件を選択し、自分のニーズに一致するレストランを素早く発見できるようになる。
(Có thể nhanh chóng tìm được nhà hàng khớp với nhu cầu của bản thân bằng cách chọn các điều kiện chi tiết như hỗ trợ tiếng Nhật, độ sạch sẽ, có điều hòa.)",,,,,,,,"設備や対応言語（エアコン、清潔度、言語）で絞り込める詳細検索フィルターを実装する。
(Tích hợp bộ lọc tìm kiếm chi tiết theo cơ sở vật chất và ngôn ngữ hỗ trợ.)",,,,,,,,,,
,,2.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"来店前に写真付きの信頼できる口コミを確認し、実際の料理の質や店の雰囲気を正確に把握することができる。
(Có thể nắm bắt chính xác chất lượng thực tế của món ăn và không gian quán bằng cách kiểm tra các đánh giá đáng tin cậy kèm hình ảnh trước khi đến.)",,,,,,,,"写真投稿機能と、プロフィール確認可能なユーザー認証システム（Verified User）を導入する。
(Phát triển tính năng đăng ảnh và hệ thống xác thực người dùng để tăng độ tin cậy.)",,,,,,,,,,
,,3.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"マムトムなどの苦手な食材や味付けの情報を事前に知り、安心して店舗を訪問できるようになる。
(Có thể yên tâm đến quán nhờ biết trước thông tin về các nguyên liệu hoặc hương vị khó ăn như mắm tôm.)",,,,,,,,"メニューに食材の警告タグ（NG食材アラート）や、「日本人向けの味付け」バッジを表示する。
(Hiển thị thẻ cảnh báo nguyên liệu hoặc huy hiệu ""Hương vị thân thiện với người Nhật"".)",,,,,,,,,,
,,4.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"自分の予算（20万〜50万VNDなど）に合わせて、条件に合うレストランをスムーズに見つけることができる。
(Có thể tìm kiếm suôn sẻ các nhà hàng phù hợp với ngân sách của bản thân (ví dụ: 200k - 500k VND).)",,,,,,,,"予算範囲（価格帯）による検索機能と、目安予算の表示機能を追加する。
(Thêm tính năng tìm kiếm theo khoảng giá và hiển thị ngân sách dự kiến.)",,,,,,,,,,
,,5.0,"ハノイのレストラン経営者
(Chủ nhà hàng tại Hà Nội)",,,,"顧客からの評価（味、清潔さ、接客）を客観的なデータとして分析し、サービス改善に役立てることができる。
(Có thể sử dụng các đánh giá từ khách hàng (hương vị, độ sạch sẽ, phục vụ) dưới dạng dữ liệu khách quan để phân tích và cải thiện dịch vụ.)",,,,,,,,"味、清潔さ、接客態度の3項目に特化した評価・フィードバック収集ダッシュボードを提供する。
(Cung cấp Dashboard thu thập đánh giá chuyên sâu về 3 tiêu chí: Hương vị, Vệ sinh, Phục vụ.)",,,,,,,,,,
,,6.0,"ハノイのレストラン経営者
(Chủ nhà hàng tại Hà Nội)",,,,"大量の店舗情報やメニュー設定を、パソコンの大きな画面で効率的かつ快適に管理できるようになる。
(Có thể quản lý lượng lớn thông tin quán và thực đơn một cách hiệu quả và thoải mái trên màn hình lớn của máy tính.)",,,,,,,,"店舗管理者向けに、PCの大きな画面に最適化された**Web管理画面（Web Admin Portal）**を構築する。
(Xây dựng trang Web Admin quản lý tối ưu hóa cho giao diện màn hình PC.)",,,,,,,,,,
,,7.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"現在地周辺のレストランを地図上で視覚的に把握し、行きやすい店舗を直感的に選択できるようになる。
(Có thể nắm bắt trực quan các nhà hàng xung quanh vị trí hiện tại trên bản đồ để chọn quán dễ đi lại một cách trực quan.)",,,,,,,,"地図技術を活用し、周辺の適切なレストランを検索できる機能を開発する
(Phát triển chức năng bản đồ để tìm nhà hàng phù hợp xung quanh khu vực)",,,,,,,,,,
,,8.0,"ハノイ在住の日本人ビジネスマン
(Người Nhật tại Hà Nội)",,,,"お気に入り店舗の新メニューやセール情報などをタイムリーに受け取り、お得な機会を逃さずに利用できる。
(Có thể nhận thông tin món mới hoặc khuyến mãi từ quán yêu thích một cách kịp thời, không bỏ lỡ các cơ hội ưu đãi.)",,,,,,,,"通知機能（プッシュ通知・メール通知）を開発する
(Phát triển chức năng thông báo cho khách hàng qua app/email)",,,,,,,,,,
,,9.0,"ハノイのレストラン経営者
(Chủ nhà hàng tại Hà Nội)",,,,"祝日や特別なイベントに合わせて魅力的なキャンペーンを直接発信し、効果的に集客できるようになる。
(Có thể thu hút khách hiệu quả bằng cách trực tiếp phát hành các chiến dịch hấp dẫn vào dịp lễ hoặc sự kiện đặc biệt.)",,,,,,,,"期間や割引率を設定できるクーポン（割引コード）の作成・管理機能を開発する。
(Phát triển chức năng tạo và quản lý mã giảm giá (coupon) có thể thiết lập theo thời gian và tỷ lệ phần trăm.)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,4.アプリ名称,,,,,,,,,,,,,,,,,,,,,,,,
,,JVDine,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,5.ロール一覧,,,,,,,,,,,,,,,,,,,,,,,,
,,ID,ロール名,,,,役割,,,,,,,,,,,,,,,,,,
,,1.0,"一般ユーザー（日本人客）
(Người dùng thông thường - Khách Nhật)",,,,"ハノイのベトナム料理店を検索し、レビューを閲覧・投稿する。
(Tìm kiếm các quán ăn Việt Nam tại Hà Nội, xem và đăng tải các bài đánh giá.)",,,,,,,,,,,,,,,,,,
,,2.0,"店舗管理者（レストランオーナー）
(Quản lý cửa hàng - Chủ nhà hàng)",,,,"自身の店舗情報を登録・更新し、日本人客からの評価を分析する。
(Đăng ký, cập nhật thông tin quán của mình và phân tích các đánh giá từ khách hàng Nhật.)",,,,,,,,,,,,,,,,,,
,,3.0,"ゲスト
(Khách - Người chưa đăng nhập)",,,,"ハノイのベトナム料理店を検索し、店舗情報やレビューを閲覧できる（※投稿は不可）。
(Có thể tìm kiếm, xem thông tin quán ăn và đọc các bài đánh giá - ※Không thể đăng bài hay bình luận).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,6.機能一覧,,,,,,,,,,,,,,,,,,,,,,,,
,,ID,機能名,,,,解決策ID,,対象ロールID,,機能の概要,,,,,,,,,,,,,,
,,1.0,"詳細・予算検索機能
(Chức năng tìm kiếm chi tiết & ngân sách)",,,,"1, 4",,"1, 3",,"エアコンの有無、清潔さ、対応言語、予算（20万〜50万VNDなど）で店舗を絞り込む。
(Lọc quán ăn theo điều hòa, độ sạch sẽ, ngôn ngữ, ngân sách 200k-500k...)",,,,,,,,,,,,,,
,,2.0,"写真付きレビュー・認証機能
(Chức năng đánh giá kèm ảnh & Xác thực)",,,,2.0,,1.0,,"本人確認済みのユーザーが、写真付きで信頼性の高いレビューを投稿・閲覧できる。
(Người dùng đã xác thực có thể đăng và xem đánh giá kèm hình ảnh đáng tin cậy.)",,,,,,,,,,,,,,
,,3.0,"NG食材・味付け警告機能
(Chức năng cảnh báo nguyên liệu/hương vị)",,,,3.0,,"1, 3",,"メニューにマムトムや内臓系などの警告タグや「日本人向け」バッジを表示する。
(Hiển thị thẻ cảnh báo nguyên liệu (mắm tôm, nội tạng) hoặc huy hiệu ""Hợp khẩu vị Nhật"".)",,,,,,,,,,,,,,
,,4.0,"店舗情報管理機能 (Web版)
(Chức năng quản lý thông tin quán - Web)",,,,6.0,,2.0,,"パソコンから店舗の基本情報、メニュー、設備情報などを登録・編集する。
(Sử dụng PC để đăng ký/chỉnh sửa thông tin cơ bản, thực đơn, cơ sở vật chất của quán.)",,,,,,,,,,,,,,
,,5.0,"評価・フィードバック分析機能
(Chức năng phân tích đánh giá/phản hồi)",,,,5.0,,2.0,,"味、清潔さ、接客の3項目に特化した顧客の評価をダッシュボードでグラフ化・分析する。
(Vẽ biểu đồ và phân tích đánh giá của khách trên Dashboard theo 3 mục: Vị, Sạch sẽ, Phục vụ.)",,,,,,,,,,,,,,
,,6.0,"お気に入り機能
(Chức năng yêu thích)",,,,-,,1.0,,"機能の概要: ユーザーが気に入った店舗を保存・管理できる
(Cho phép người dùng lưu và quản lý nhà hàng yêu thích)",,,,,,,,,,,,,,
,,7.0,"地図検索機能
(Chức năng tìm kiếm bằng bản đồ)",,,,7.0,,"1, 3",,"機能の概要: 現在地周辺の店舗を地図上で表示・検索
(Hiển thị và tìm nhà hàng xung quanh trên bản đồ)",,,,,,,,,,,,,,
,,8.0,"認証・ログイン機能
(Chức năng đăng nhập & xác thực)",,,,-,,"1, 2, 3",,"機能の概要: ユーザー登録・ログイン・権限管理
(Đăng ký, đăng nhập và phân quyền người dùng)",,,,,,,,,,,,,,
,,9.0,"通知機能
(Chức năng thông báo)",,,,8.0,,1.0,,"店舗が新しいメニューを追加したり、セールを実施した際に、スマートフォンやパソコンへ通知を送信する
(Thông báo trên điện thoại hoặc máy tính khi chủ cửa hàng thêm món mới hoặc có chương trình giảm giá)",,,,,,,,,,,,,,
,,10.0,"セール適用機能
(Chức năng áp dụng khuyến mãi)",,,,9.0,,2.0,,"特別な日（祝日・イベントなど）に、パーセンテージで割引を設定・適用できる
(Có thể áp dụng giảm giá theo phần trăm vào những ngày đặc biệt)",,,,,,,,,,,,,,
,,11.0,"プロフィール管理機能
(Chức năng quản lý thông tin cá nhân)",,,,"2, 3",,"1, 2",,"ユーザーおよび店舗管理者が、基本情報、アレルギー情報、領収書の宛名設定などを閲覧・更新できる機能。
(Người dùng và quản lý cửa hàng có thể xem và cập nhật thông tin cơ bản, thông tin dị ứng, cũng như cài đặt thông tin xuất hóa đơn đỏ (VAT).)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,7.画面一覧,c,,,,,,,,,,,,,,,,,,,,,,,
,,ID,画面名,,,,機能ID,,対象ロールID,,画面の概要,,,,,,,,,,,,,,
,,1.0,"ホーム・検索画面
(Màn hình Trang chủ & Tìm kiếm)",,,,1.0,,"1, 3",,"おすすめ店舗の表示と、フィルターを使った詳細検索を行う画面。
(Màn hình hiển thị quán gợi ý và thực hiện tìm kiếm chi tiết bằng bộ lọc.)",,,,,,,,,,,,,,
,,2.0,"店舗詳細・メニュー画面
(Màn hình Chi tiết quán & Thực đơn)",,,,"2, 3",,"1, 3",,"店舗の基本情報、NG食材警告タグ、他のユーザーのレビューを表示する画面。
(Màn hình hiển thị thông tin quán, thẻ cảnh báo nguyên liệu và đánh giá của người dùng khác.)",,,,,,,,,,,,,,
,,3.0,"レビュー投稿画面
(Màn hình Viết đánh giá)",,,,2.0,,1.0,,"ユーザーが写真や星評価（味、清潔さ、接客）を入力して投稿する画面。
(Màn hình để người dùng tải ảnh và nhập đánh giá sao (Vị, Sạch, Phục vụ).)",,,,,,,,,,,,,,
,,4.0,"管理者ダッシュボード画面 (Web)
(Màn hình Dashboard Admin - Web)",,,,5.0,,2.0,,"店舗管理者がログイン後、日本人客からの評価推移や統計データを閲覧するPC用画面。
(Màn hình PC để chủ quán xem thống kê và biểu đồ đánh giá từ khách Nhật sau khi đăng nhập.)",,,,,,,,,,,,,,
,,5.0,"店舗情報編集画面 (Web)
(Màn hình Chỉnh sửa thông tin quán - Web)",,,,4.0,,2.0,,"メニューの追加、価格の変更、店舗設備の更新などを行うPC用管理画面。
(Màn hình quản lý trên PC để thêm thực đơn, đổi giá, cập nhật cơ sở vật chất...)",,,,,,,,,,,,,,
,,6.0,"ログイン画面 
(Màn hình Đăng nhập)",,,,8.0,,"1, 2, 3",,"既にアカウントを持っているユーザー・店舗管理者がシステムにログインする画面。
(Màn hình để người dùng hoặc quản lý cửa hàng đã có tài khoản đăng nhập vào hệ thống.)",,,,,,,,,,,,,,
,,7.0,"お気に入り一覧画面
(Màn hình Danh sách yêu thích)",,,,6.0,,1.0,,"画面の概要: 保存した店舗の一覧を表示
(Hiển thị danh sách nhà hàng đã lưu)",,,,,,,,,,,,,,
,,8.0,"地図検索画面
(Màn hình Tìm kiếm bằng bản đồ)",,,,7.0,,"1, 3",,"画面の概要: 地図上で周辺店舗を検索・表示
(Tìm và hiển thị nhà hàng xung quanh trên bản đồ)",,,,,,,,,,,,,,
,,9.0,"通知一覧画面
(Màn hình Thông báo)",,,,9.0,,1.0,,"現在実施中のセール情報や、登録（フォロー）している店舗からの通知を一覧で表示する
(Hiển thị danh sách các chương trình giảm giá đang có và thông báo từ các cửa hàng đã đăng ký/theo dõi)",,,,,,,,,,,,,,
,,10.0,"キャンペーン・クーポン作成画面 
(Màn hình Tạo khuyến mãi / mã giảm giá)",,,,10.0,,2.0,,"クーポンコードの生成、割引ルールの設定、および対象顧客への一斉配布（プッシュ通知など）を行う管理画面。
(Màn hình quản lý để tạo mã coupon, thiết lập luật giảm giá và phát tự động (qua thông báo) cho tệp khách hàng mục tiêu.)",,,,,,,,,,,,,,
,,11.0,"プロフィール画面
(Màn hình Thông tin cá nhân)",,,,11.0,,"1,2",,"ユーザーの基本情報、アレルギー情報などを管理。
(Quản lý thông tin cơ bản và thông tin dị ứng của người dùng)",,,,,,,,,,,,,,
,,12.0,"店舗情報登録画面
(Màn hình Đăng ký thông tin nhà hàng)",,,,4.0,,2.0,,"新規レストラン情報登録画面。画像のアップロード、設備のリストアップ、メニューの設定が可能です。
(Màn hình nhập liệu để đăng ký thông tin nhà hàng mới. Cho phép tải ảnh lên, liệt kê tiện nghi, thiết lập món ăn.)",,,,,,,,,,,,,,
,,13.0,"登録画面
(Màn hình Đăng ký tài khoản)",,,,8.0,,"1, 2, 3",,"新規ユーザー・店舗管理者がメールアドレスやパスワードを入力してアカウントを作成する画面。
(Màn hình để người dùng hoặc quản lý cửa hàng mới tạo tài khoản bằng email/mật khẩu.)",,,,,,,,,,,,,,
,,14.0,"クーポン管理画面  
Màn hình Quản lý mã giảm giá",,,,10.0,,2.0,,"クーポン（割引コード）を管理する画面。管理者はクーポンの作成および削除を行うことができる。各クーポンには割引内容、有効期限、使用条件などの情報が含まれる。
(Màn hình dùng để quản lý mã giảm giá. Admin chỉ có thể tạo và xóa mã. Mỗi mã bao gồm thông tin như mức giảm giá, thời hạn sử dụng và điều kiện áp dụng.)",,,,,,,,,,,,,,
,,15.0,"店舗詳細情報画面
(Màn hình Chi tiết thông tin nhà hàng)",,,,1.0,,"1,3",,"この画面は、店舗の詳細情報を表示するための画面である。住所、営業時間、料理の種類、予算、および設備などの情報を確認することができる。ユーザーはこれらの情報を参考にして、来店や予約の判断を行う。
(Màn hình này hiển thị thông tin chi tiết của nhà hàng, bao gồm địa chỉ, giờ mở cửa, loại ẩm thực, mức giá trung bình và các tiện ích của cửa hàng. Người dùng có thể xem thông tin để quyết định đặt bàn hoặc đến trực tiếp nhà hàng.)",,,,,,,,,,,,,,
,,16.0,"レビュー閲覧画面
(Màn hình Xem đánh giá)",,,,2.0,,"1,3",,"この画面は、店舗に対するユーザーのレビューを表示するための画面である。ユーザーは評価点数、コメント内容、および投稿者の情報を確認し、来店や予約の参考にすることができる。
(Màn hình này hiển thị các đánh giá của người dùng về nhà hàng. Người dùng có thể xem điểm đánh giá, nội dung nhận xét và thông tin người đánh giá để tham khảo trước khi quyết định đặt bàn hoặc đến nhà hàng.)",,,,,,,,,,,,,,
