,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,No,"項目
Mục","観点
Quan điểm",S01,S02,S03,,,,,,,,,,,,,,,,,,
,1,"日付
Ngày","正しい期間が入力されているか
Có nhập khoảng thời gian chính xác không?",True,False,False,,,,,,,,,,,,,,,,,,
,2,"スプリントゴール
Mục tiêu Sprint","POTと合意した内容がそのまま記載されているか
Có ghi đúng nội dung đã thống nhất với POT không?",True,False,False,,,,,,,,,,,,,,,,,,
,3,"スプリントバックログ
Sprint Backlog","「対応PID」「ID」「タスク」「PIC」「見積もり」「スプリントゴールとの関係」に空欄がないか
Có đảm bảo không để trống các cột “PID liên quan”, “ID”, “Task”, “PIC”, “Ước lượng”, “Liên quan đến mục tiêu Sprint”  không?",True,False,False,,,,,,,,,,,,,,,,,,
,4,"タスク
Task","スプリントバックログの各タスクが、スプリントゴール達成の構成要素として妥当か
Các task trong Sprint Backlog có phù hợp để đạt được mục tiêu sprint hay không?",True,False,False,,,,,,,,,,,,,,,,,,
,5,"タスク数
Số lượng Task","1スプリントで完了できそうなタスク数か
Số lượng task có khả năng hoàn thành trong 1 sprint không?",True,False,False,,,,,,,,,,,,,,,,,,
,6,PIC,"特定のメンバーに負担が集中していないか
Có đảm bảo không có thành viên nào bị quá tải với quá nhiều task không?",True,False,False,,,,,,,,,,,,,,,,,,
,7,"前回からのタスク
Task từ sprint trước","前スプリントまでの進捗報告で発生したタスクが記載されているか
Các task phát sinh từ báo cáo tiến độ sprint trước có được ghi đầy đủ không?",,False,False,,,,,,,,,,,,,,,,,,
,8,"スペルチェック
Kiểm tra chính tả","表記の誤りはないか
Có đảm bảo không có lỗi chính tả hoặc ghi sai không?",True,False,False,,,,,,,,,,,,,,,,,,
,9,"表記ゆれ
Sự thống nhất về cách ghi","仕様書・プロダクトバックログと同じ意味の言葉を違う表記で記載していないか
Có đảm bảo các từ cùng nghĩa với các từ trong tài liệu yêu cầu và product backlog không bị ghi bằng từ khác không?",True,False,False,,,,,,,,,,,,,,,,,,
,10,"言語
Ngôn ngữ","日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt không?",True,False,False,,,,,,,,,,,,,,,,,,
,11,"体裁
Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",True,False,False,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
